userId,courseId,proportionWatched
1,1,0.15
3,1,0.64
4,1,1
6,1,0.22
7,1,0.11
9,1,0.26
11,1,0.13
12,1,1
15,1,1
16,1,0.19
20,1,0.11
22,1,0.99
23,1,0.88
25,1,0.03
26,1,0.7
28,1,0.46
32,1,0.17
33,1,1
34,1,0.11
36,1,1
37,1,0.46
39,1,0.01
40,1,0.8
41,1,1
43,1,1
45,1,0.34
46,1,0.16
48,1,0.71
50,1,1
51,1,0.55
53,1,1
54,1,0.12
55,1,0.14
56,1,0.06
57,1,0.47
59,1,0.47
60,1,1
61,1,0.04
62,1,0.5
63,1,1
64,1,1
66,1,0.73
67,1,0.05
68,1,0.26
69,1,0.94
71,1,1
73,1,0.02
74,1,0.11
75,1,0.59
77,1,0.85
78,1,0.3
79,1,1
80,1,1
81,1,0.06
82,1,0.6
83,1,1
84,1,0.8
85,1,0.17
87,1,0.09
88,1,0.26
89,1,1
90,1,0.04
94,1,1
95,1,0.59
96,1,0.4
98,1,0.21
99,1,0.4
100,1,0.87
101,1,0.29
104,1,0.31
106,1,0.86
107,1,0.12
108,1,0.16
109,1,1
111,1,0.95
112,1,0.55
113,1,0.06
115,1,0.59
117,1,0.11
118,1,0.47
119,1,0.64
120,1,0.51
121,1,1
123,1,0.65
126,1,0.06
128,1,1
132,1,0.6
133,1,0.44
134,1,0.52
136,1,1
137,1,0.05
138,1,1
141,1,0.72
142,1,0.54
143,1,0.23
144,1,0.47
145,1,1
147,1,0.05
149,1,1
150,1,1
151,1,1
153,1,0.41
154,1,0.33
155,1,1
156,1,0.9
158,1,0.12
161,1,0.22
164,1,0.46
166,1,1
167,1,0.12
168,1,0.23
170,1,0.5
175,1,1
176,1,0.45
177,1,1
181,1,0.44
185,1,1
186,1,1
187,1,0.41
188,1,0.46
189,1,0.06
192,1,0.07
194,1,1
195,1,0.06
197,1,1
198,1,1
199,1,0.03
200,1,0.11
202,1,1
203,1,0.22
204,1,0.04
207,1,1
208,1,0.34
209,1,0.82
210,1,1
211,1,1
212,1,0.63
215,1,0.47
216,1,0.59
217,1,0.2
218,1,1
219,1,0.19
220,1,1
221,1,0.36
222,1,1
223,1,0.66
224,1,0.44
225,1,0.16
226,1,0.15
227,1,1
229,1,0.05
232,1,0.8
234,1,0.66
236,1,1
237,1,0.22
238,1,0.51
240,1,1
241,1,0.45
243,1,0.32
244,1,0.51
245,1,0.01
246,1,1
247,1,0.08
248,1,0.72
249,1,1
254,1,1
256,1,0.76
257,1,1
258,1,0.16
259,1,0.09
260,1,1
261,1,0.47
263,1,0.19
264,1,0.13
265,1,0.48
266,1,0.18
268,1,1
269,1,0.17
271,1,0.71
274,1,1
277,1,1
280,1,0.17
282,1,0.09
284,1,0.76
286,1,0.64
292,1,0.64
293,1,0.03
294,1,1
295,1,1
296,1,0.01
297,1,0.88
299,1,0.01
302,1,1
303,1,0.9
304,1,0.28
305,1,1
306,1,0.16
308,1,0.21
309,1,0.39
310,1,0.21
311,1,0.83
313,1,1
316,1,0.17
317,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,1,0.53
325,1,1
326,1,0.32
328,1,0.39
332,1,0.42
333,1,0.19
334,1,0.27
336,1,0.04
338,1,0.1
339,1,0.24
340,1,1
342,1,0.07
344,1,1
345,1,1
346,1,1
347,1,0.74
348,1,0.43
349,1,0.1
350,1,0.88
351,1,0.43
352,1,0.45
353,1,0.38
354,1,0.06
355,1,1
357,1,0.34
360,1,0.13
361,1,0.24
362,1,0.47
364,1,0.54
365,1,0.44
366,1,1
367,1,0.63
371,1,1
373,1,1
374,1,1
375,1,0.25
377,1,0.53
378,1,0.4
