payment_method_type,country,rebill_period_in_months,firstSub,observation_date,age,all_time_views,last_month_views,next_month_views,is_cancelled
SAGEPAY,usa,1,1.0,2018-04-01,985,91,,,true
SAGEPAY,zaf,1,1.0,2018-04-01,962,54,,,true
SAGEPAY,usa,1,1.0,2018-04-01,904,33,,,false
PAYPAL,usa,1,,2018-04-01,826,176,,,true
SAGEPAY,usa,1,1.0,2018-04-01,736,78,,10,true
SAGEPAY,usa,1,1.0,2018-04-01,630,81,,,true
PAYPAL,usa,1,,2018-04-01,545,59,,,true
SAGEPAY,ind,6,,2018-04-01,471,377,4,,false
PAYPAL,usa,1,,2018-04-01,446,140,,,true
SAGEPAY,usa,1,1.0,2018-04-01,110,22,,,true
SAGEPAY,usa,1,1.0,2018-05-01,1015,91,,,true
SAGEPAY,zaf,1,1.0,2018-05-01,992,54,,,true
SAGEPAY,usa,1,1.0,2018-05-01,934,33,,,false
PAYPAL,usa,1,,2018-05-01,856,176,,,true
SAGEPAY,usa,1,1.0,2018-05-01,766,88,10,,true
SAGEPAY,usa,1,1.0,2018-05-01,660,81,,,true
PAYPAL,usa,1,,2018-05-01,575,59,,,true
SAGEPAY,ind,6,,2018-05-01,501,377,,,false
PAYPAL,usa,1,,2018-05-01,476,140,,,true
SAGEPAY,usa,1,1.0,2018-05-01,140,22,,,true
PAYPAL,usa,1,1.0,2018-06-01,1009,70,,,true
SAGEPAY,rus,1,1.0,2018-06-01,977,9,,,false
PAYPAL,ind,1,1.0,2018-06-01,921,304,,,true
SAGEPAY,gbr,1,1.0,2018-06-01,871,676,,,false
SAGEPAY,zaf,1,,2018-06-01,861,54,,,true
SAGEPAY,usa,1,,2018-06-01,854,712,,,false
SAGEPAY,sau,1,1.0,2018-06-01,819,2,,,true
SAGEPAY,can,1,1.0,2018-06-01,593,4,,,true
PAYPAL,usa,1,1.0,2018-06-01,582,137,,,true
PAYPAL,usa,6,,2018-06-01,505,335,,,true
SAGEPAY,usa,1,1.0,2018-03-01,930,46,,,true
PAYPAL,mys,1,,2018-03-01,793,52,,,true
SAGEPAY,tur,1,1.0,2018-03-01,709,28,,,false
SAGEPAY,usa,1,1.0,2018-03-01,516,17,,,true
PAYPAL,usa,1,1.0,2018-03-01,515,62,,,true
PAYPAL,usa,1,1.0,2018-03-01,513,183,,,true
PAYPAL,gbr,1,,2018-03-01,500,150,,,true
SAGEPAY,irl,6,1.0,2018-03-01,387,121,,,false
SAGEPAY,ind,1,,2018-03-01,227,141,,,true
PAYPAL,usa,1,1.0,2018-03-01,158,43,,,true
PAYPAL,usa,1,1.0,2018-05-01,978,70,,,true
SAGEPAY,rus,1,1.0,2018-05-01,946,9,,,false
PAYPAL,ind,1,1.0,2018-05-01,890,304,,,true
SAGEPAY,gbr,1,1.0,2018-05-01,840,676,,,false
SAGEPAY,zaf,1,,2018-05-01,830,54,,,true
SAGEPAY,usa,1,,2018-05-01,823,712,,,false
SAGEPAY,sau,1,1.0,2018-05-01,788,2,,,true
SAGEPAY,can,1,1.0,2018-05-01,562,4,,,true
PAYPAL,usa,1,1.0,2018-05-01,551,137,,,true
PAYPAL,usa,6,,2018-05-01,474,335,,,true
SAGEPAY,usa,1,1.0,2018-06-01,1046,91,,,true
SAGEPAY,zaf,1,1.0,2018-06-01,1023,54,,,true
SAGEPAY,usa,1,1.0,2018-06-01,965,33,,,false
PAYPAL,usa,1,,2018-06-01,887,176,,,true
SAGEPAY,usa,1,1.0,2018-06-01,797,88,,,true
SAGEPAY,usa,1,1.0,2018-06-01,691,81,,,true
PAYPAL,usa,1,,2018-06-01,606,59,,,true
SAGEPAY,ind,6,,2018-06-01,532,377,,,false
PAYPAL,usa,1,,2018-06-01,507,140,,,true
SAGEPAY,usa,1,1.0,2018-06-01,171,22,,,true
SAGEPAY,usa,1,1.0,2018-03-01,954,91,,,true
SAGEPAY,zaf,1,1.0,2018-03-01,931,54,,,true
SAGEPAY,usa,1,1.0,2018-03-01,873,33,,,false
