country,rebill_period,payments_made,chapter_access_count,seconds_watched
UNKNOWN,1,1,3,9406
US,6,1,2,189265
US,12,2,3,255055
US,1,0,7,1354
GB,1,1,5,4543
AU,1,0,8,2817
GB,1,1,6,3973
HU,1,1,3,4389
CA,1,1,2,2380
IN,1,0,10,398
US,1,0,7,2234
US,1,3,7,3248
US,1,0,11,6836
IE,1,7,14,1129
PH,6,0,8,6409
US,1,0,5,102
IN,1,0,5,8537
US,1,0,7,1122
NG,1,0,8,7693
US,1,0,6,592
US,1,0,5,4208
US,1,0,10,2459
PL,1,2,5,7405
IN,1,0,6,8378
IN,12,1,22,149255
UA,1,0,7,53
IN,1,0,11,6627
UA,1,0,7,7149
UA,1,0,8,124
DE,1,0,3,3890
CA,1,0,8,7254
US,1,0,7,6692
US,1,2,5,7644
US,12,4,14,41425
UNKNOWN,1,2,7,7864
US,6,1,16,2385
UNKNOWN,6,2,3,397
UNKNOWN,1,2,8,6187
UNKNOWN,1,0,8,5856
UNKNOWN,1,2,14,1435
UNKNOWN,1,0,2,1864
UNKNOWN,1,9,17,1650
UNKNOWN,1,0,8,9357
UNKNOWN,1,0,12,7333
UNKNOWN,1,1,18,8298
UNKNOWN,1,0,8,8223
UNKNOWN,1,2,4,8560
UNKNOWN,1,2,15,10930
IN,1,2,3,464
US,1,2,5,7315
IN,6,0,8,3350
IN,6,0,9,3772
IN,6,2,5,2512
IN,6,0,9,8589
IN,6,0,8,905
IN,6,0,9,7532
NG,1,0,7,2241
US,1,0,2,557
PK,1,2,7,3652
PK,1,2,11,7199
GB,1,0,8,9205
US,1,2,8,7181
IN,1,0,8,3707
IT,1,8,43,9337
IN,6,2,2,6837
FR,1,1,12,3191
UY,1,3,16,280
IN,1,1,47,737
US,1,0,11,882
IN,1,0,10,8751
IN,1,0,8,6009
IN,1,1,3,4381
IN,1,0,18,8092
US,6,6,5,395035
CI,6,3,5,519485
IN,1,1,3,455
US,1,0,3,5375
IN,1,0,35,400
IN,1,0,6,1630
SI,12,1,48,41045
CA,1,0,34,90
IN,6,1,8,950
IN,1,2,9,3995
US,1,2,12,45
GB,1,0,1,535
CA,1,4,27,14355
US,1,4,6,30210
US,1,2,46,18680
IN,1,0,39,35
IN,1,0,16,4065
IN,12,0,36,415
IN,12,2,2,5
PH,1,2,9,20
PL,1,0,13,5960
US,1,0,15,5670
IN,1,2,9,65
US,1,0,10,6745
IN,1,0,9,35
US,1,1,33,20345
IN,1,1,10,3455
GB,6,0,7,0
US,1,1,40,20630
US,1,2,5,3420
CA,6,2,2,128080
AU,1,1,5,175
US,6,0,0,0
IN,1,0,6,1915
US,6,1,1,3021
AU,1,0,9,2207
US,1,1,27,158
US,1,5,9,1193
US,12,3,1,6318
US,1,0,9,8665
MA,1,0,3,4066
IN,1,0,7,5498
AU,6,2,6,5723
IN,1,0,11,9741
RS,1,0,5,1539
US,1,0,12,5029
SE,6,2,3,258670
ES,1,0,11,2401
US,1,0,9,6563
UA,1,0,6,9101
UA,1,0,4,610
UA,1,0,6,4755
IN,1,0,8,5487
GB,1,0,9,2327
BI,1,0,8,1269
IN,1,2,5,2480
UA,1,0,7,873
UA,1,0,7,9528
US,1,0,3,586
US,1,2,7,1788
US,1,2,7,2079
US,1,0,9,6194
US,1,0,8,967
UNKNOWN,1,2,1,1648
UNKNOWN,1,0,1,1334
UNKNOWN,1,0,6,113
UNKNOWN,1,0,9,1464
UNKNOWN,1,0,8,7522
UNKNOWN,1,2,5,2380
UNKNOWN,1,0,9,659
UNKNOWN,1,4,5,8277
UNKNOWN,1,0,10,3564
UNKNOWN,1,0,6,8206
UNKNOWN,1,2,6,6206
UNKNOWN,1,2,11,6196
US,1,2,5,2651
UNKNOWN,1,0,12,4738
UNKNOWN,1,0,1,1699
HU,1,1,6,4146
IN,6,2,9,5012
IN,6,0,8,6051
IN,6,0,7,921
IN,6,0,10,684
IN,6,0,11,1548
IN,6,0,8,8593
IN,6,0,9,3247
US,1,2,8,4479
JP,6,2,2,111970
US,1,5,46,3420
US,1,2,11,944
US,1,8,6,83485
PK,1,2,1,1685
IN,1,0,8,681
LB,6,2,1,8541
US,1,2,8,8868
US,1,2,5,393200
SE,6,3,23,20815
US,1,0,4,595
BD,1,0,22,2067
IN,1,0,10,180
IN,1,0,12,5
US,1,2,14,315
IN,1,1,14,20
US,1,0,29,36885
IN,1,0,35,80
GB,6,0,3,2240
US,1,0,16,15700
IN,1,2,11,15
US,1,0,2,3460
HK,1,0,29,20
US,1,1,27,10135
LV,1,0,2,70
CA,1,0,27,35880
AU,1,0,11,2875
SG,6,2,31,2365
GB,12,2,22,3830
IN,12,0,24,2745
GB,1,0,29,35310
AU,1,0,1,596
US,1,0,0,0
IL,6,1,6,21980
GB,1,1,8,20375
US,1,0,6,0
US,1,0,4,3044
US,6,2,7,38040
US,6,2,2,180645
US,6,2,4,36615
EG,6,1,7,1730
