payment_method_type,country,rebill_period_in_months,firstSub,observation_date,age,all_time_views,last_month_views,next_month_views,is_cancelled
SAGEPAY,gbr,1,1.0,2018-03-01,887,170,,,true
PAYPAL,usa,1,1.0,2018-03-01,787,7,,,true
SAGEPAY,aus,1,1.0,2018-03-01,786,521,,,true
PAYPAL,sgp,1,,2018-03-01,782,281,,,true
SAGEPAY,usa,1,1.0,2018-03-01,778,204,,,false
SAGEPAY,usa,1,1.0,2018-03-01,768,61,,,true
PAYPAL,kor,1,1.0,2018-03-01,753,134,,,true
PAYPAL,usa,1,1.0,2018-03-01,703,31,,,true
SAGEPAY,usa,1,1.0,2018-03-01,587,57,,,true
SAGEPAY,tur,1,1.0,2018-03-01,557,13,,,false
SAGEPAY,usa,1,1.0,2018-03-01,540,174,,,true
SAGEPAY,srb,1,1.0,2018-03-01,530,7,,,true
SAGEPAY,usa,1,1.0,2018-03-01,499,51,,,true
SAGEPAY,bel,1,,2018-03-01,483,45,,,false
SAGEPAY,usa,1,,2018-03-01,463,30,,,false
PAYPAL,dnk,1,1.0,2018-03-01,460,13,,,true
PAYPAL,usa,1,,2018-03-01,455,72,,,true
SAGEPAY,usa,12,,2018-03-01,344,70,,4,false
SAGEPAY,usa,6,,2018-03-01,304,180,,,true
PAYPAL,aus,1,1.0,2018-03-01,101,13,,,true
SAGEPAY,gbr,1,1.0,2018-04-01,918,170,,,true
PAYPAL,usa,1,1.0,2018-04-01,818,7,,,true
SAGEPAY,aus,1,1.0,2018-04-01,817,521,,,true
PAYPAL,sgp,1,,2018-04-01,813,281,,,true
SAGEPAY,usa,1,1.0,2018-04-01,809,204,,,false
SAGEPAY,usa,1,1.0,2018-04-01,799,61,,,true
PAYPAL,kor,1,1.0,2018-04-01,784,134,,,true
PAYPAL,usa,1,1.0,2018-04-01,733,31,,,true
SAGEPAY,usa,1,1.0,2018-04-01,618,57,,,true
SAGEPAY,tur,1,1.0,2018-04-01,588,13,,,false
SAGEPAY,usa,1,1.0,2018-04-01,571,174,,,true
SAGEPAY,srb,1,1.0,2018-04-01,561,7,,,true
SAGEPAY,usa,1,1.0,2018-04-01,529,51,,,true
SAGEPAY,bel,1,,2018-04-01,514,45,,,false
SAGEPAY,usa,1,,2018-04-01,494,30,,,false
PAYPAL,dnk,1,1.0,2018-04-01,491,13,,,true
PAYPAL,usa,1,,2018-04-01,486,72,,,true
SAGEPAY,usa,12,,2018-04-01,375,74,4,,false
SAGEPAY,usa,6,,2018-04-01,334,180,,,true
PAYPAL,aus,1,1.0,2018-04-01,132,13,,,true
SAGEPAY,gbr,1,1.0,2018-02-01,859,170,,,true
PAYPAL,usa,1,1.0,2018-02-01,759,7,,,true
SAGEPAY,aus,1,1.0,2018-02-01,758,521,,,true
PAYPAL,sgp,1,,2018-02-01,754,281,,,true
SAGEPAY,usa,1,1.0,2018-02-01,750,204,,,false
SAGEPAY,usa,1,1.0,2018-02-01,740,61,,,true
PAYPAL,kor,1,1.0,2018-02-01,725,134,,,true
PAYPAL,usa,1,1.0,2018-02-01,675,31,,,true
SAGEPAY,usa,1,1.0,2018-02-01,559,57,,,true
SAGEPAY,tur,1,1.0,2018-02-01,529,13,,,false
SAGEPAY,usa,1,1.0,2018-02-01,512,174,,,true
SAGEPAY,srb,1,1.0,2018-02-01,502,7,,,true
SAGEPAY,usa,1,1.0,2018-02-01,471,51,,,true
SAGEPAY,bel,1,,2018-02-01,455,45,,,false
SAGEPAY,usa,1,,2018-02-01,435,30,,,false
PAYPAL,dnk,1,1.0,2018-02-01,432,13,,,true
PAYPAL,usa,1,,2018-02-01,427,72,,,true
SAGEPAY,usa,12,,2018-02-01,316,68,2,,false
SAGEPAY,usa,6,,2018-02-01,276,180,,,true
